cal_date,454_year,454_qtr,454_month,454_week,cal_year,cal_qtr,cal_month_number,cal_month_name,cal_day_of_month_number,cal_week,cal_day_of_week,cal_day_of_week_number
2014-01-01,2014,1,1,1,2014,Q1,1,JAN,1,1,WEDNESDAY,4
2014-01-02,2014,1,1,1,2014,Q1,1,JAN,2,1,THURSDAY,5
2014-01-03,2014,1,1,1,2014,Q1,1,JAN,3,1,FRIDAY,6
2014-01-04,2014,1,1,1,2014,Q1,1,JAN,4,1,SATURDAY,7
2014-01-05,2014,1,1,2,2014,Q1,1,JAN,5,1,SUNDAY,1
2014-01-06,2014,1,1,2,2014,Q1,1,JAN,6,1,MONDAY,2
2014-01-07,2014,1,1,2,2014,Q1,1,JAN,7,1,TUESDAY,3
2014-01-08,2014,1,1,2,2014,Q1,1,JAN,8,2,WEDNESDAY,4
2014-01-09,2014,1,1,2,2014,Q1,1,JAN,9,2,THURSDAY,5
2014-01-10,2014,1,1,2,2014,Q1,1,JAN,10,2,FRIDAY,6
2014-01-11,2014,1,1,2,2014,Q1,1,JAN,11,2,SATURDAY,7
2014-01-12,2014,1,1,3,2014,Q1,1,JAN,12,2,SUNDAY,1
2014-01-13,2014,1,1,3,2014,Q1,1,JAN,13,2,MONDAY,2
2014-01-14,2014,1,1,3,2014,Q1,1,JAN,14,2,TUESDAY,3
2014-01-15,2014,1,1,3,2014,Q1,1,JAN,15,3,WEDNESDAY,4
2014-01-16,2014,1,1,3,2014,Q1,1,JAN,16,3,THURSDAY,5
2014-01-17,2014,1,1,3,2014,Q1,1,JAN,17,3,FRIDAY,6
2014-01-18,2014,1,1,3,2014,Q1,1,JAN,18,3,SATURDAY,7
2014-01-19,2014,1,1,4,2014,Q1,1,JAN,19,3,SUNDAY,1
2014-01-20,2014,1,1,4,2014,Q1,1,JAN,20,3,MONDAY,2
2014-01-21,2014,1,1,4,2014,Q1,1,JAN,21,3,TUESDAY,3
2014-01-22,2014,1,1,4,2014,Q1,1,JAN,22,4,WEDNESDAY,4
2014-01-23,2014,1,1,4,2014,Q1,1,JAN,23,4,THURSDAY,5
2014-01-24,2014,1,1,4,2014,Q1,1,JAN,24,4,FRIDAY,6
2014-01-25,2014,1,1,4,2014,Q1,1,JAN,25,4,SATURDAY,7
2014-01-26,2014,1,2,5,2014,Q1,1,JAN,26,4,SUNDAY,1
2014-01-27,2014,1,2,5,2014,Q1,1,JAN,27,4,MONDAY,2
2014-01-28,2014,1,2,5,2014,Q1,1,JAN,28,4,TUESDAY,3
2014-01-29,2014,1,2,5,2014,Q1,1,JAN,29,5,WEDNESDAY,4
2014-01-30,2014,1,2,5,2014,Q1,1,JAN,30,5,THURSDAY,5
2014-01-31,2014,1,2,5,2014,Q1,1,JAN,31,5,FRIDAY,6
2014-02-01,2014,1,2,5,2014,Q1,2,FEB,1,5,SATURDAY,7
2014-02-02,2014,1,2,6,2014,Q1,2,FEB,2,5,SUNDAY,1
2014-02-03,2014,1,2,6,2014,Q1,2,FEB,3,5,MONDAY,2
2014-02-04,2014,1,2,6,2014,Q1,2,FEB,4,5,TUESDAY,3
2014-02-05,2014,1,2,6,2014,Q1,2,FEB,5,6,WEDNESDAY,4
2014-02-06,2014,1,2,6,2014,Q1,2,FEB,6,6,THURSDAY,5
2014-02-07,2014,1,2,6,2014,Q1,2,FEB,7,6,FRIDAY,6
2014-02-08,2014,1,2,6,2014,Q1,2,FEB,8,6,SATURDAY,7
2014-02-09,2014,1,2,7,2014,Q1,2,FEB,9,6,SUNDAY,1
2014-02-10,2014,1,2,7,2014,Q1,2,FEB,10,6,MONDAY,2
2014-02-11,2014,1,2,7,2014,Q1,2,FEB,11,6,TUESDAY,3
2014-02-12,2014,1,2,7,2014,Q1,2,FEB,12,7,WEDNESDAY,4
2014-02-13,2014,1,2,7,2014,Q1,2,FEB,13,7,THURSDAY,5
2014-02-14,2014,1,2,7,2014,Q1,2,FEB,14,7,FRIDAY,6
2014-02-15,2014,1,2,7,2014,Q1,2,FEB,15,7,SATURDAY,7
2014-02-16,2014,1,2,8,2014,Q1,2,FEB,16,7,SUNDAY,1
2014-02-17,2014,1,2,8,2014,Q1,2,FEB,17,7,MONDAY,2
2014-02-18,2014,1,2,8,2014,Q1,2,FEB,18,7,TUESDAY,3
2014-02-19,2014,1,2,8,2014,Q1,2,FEB,19,8,WEDNESDAY,4
2014-02-20,2014,1,2,8,2014,Q1,2,FEB,20,8,THURSDAY,5
2014-02-21,2014,1,2,8,2014,Q1,2,FEB,21,8,FRIDAY,6
2014-02-22,2014,1,2,8,2014,Q1,2,FEB,22,8,SATURDAY,7
2014-02-23,2014,1,2,9,2014,Q1,2,FEB,23,8,SUNDAY,1
2014-02-24,2014,1,2,9,2014,Q1,2,FEB,24,8,MONDAY,2
2014-02-25,2014,1,2,9,2014,Q1,2,FEB,25,8,TUESDAY,3
2014-02-26,2014,1,2,9,2014,Q1,2,FEB,26,9,WEDNESDAY,4
2014-02-27,2014,1,2,9,2014,Q1,2,FEB,27,9,THURSDAY,5
2014-02-28,2014,1,2,9,2014,Q1,2,FEB,28,9,FRIDAY,6
2014-03-01,2014,1,2,9,2014,Q1,3,MAR,1,9,SATURDAY,7
2014-03-02,2014,1,3,10,2014,Q1,3,MAR,2,9,SUNDAY,1
2014-03-03,2014,1,3,10,2014,Q1,3,MAR,3,9,MONDAY,2
2014-03-04,2014,1,3,10,2014,Q1,3,MAR,4,9,TUESDAY,3
2014-03-05,2014,1,3,10,2014,Q1,3,MAR,5,10,WEDNESDAY,4
2014-03-06,2014,1,3,10,2014,Q1,3,MAR,6,10,THURSDAY,5
2014-03-07,2014,1,3,10,2014,Q1,3,MAR,7,10,FRIDAY,6
2014-03-08,2014,1,3,10,2014,Q1,3,MAR,8,10,SATURDAY,7
2014-03-09,2014,1,3,11,2014,Q1,3,MAR,9,10,SUNDAY,1
2014-03-10,2014,1,3,11,2014,Q1,3,MAR,10,10,MONDAY,2
2014-03-11,2014,1,3,11,2014,Q1,3,MAR,11,10,TUESDAY,3
2014-03-12,2014,1,3,11,2014,Q1,3,MAR,12,11,WEDNESDAY,4
2014-03-13,2014,1,3,11,2014,Q1,3,MAR,13,11,THURSDAY,5
2014-03-14,2014,1,3,11,2014,Q1,3,MAR,14,11,FRIDAY,6
2014-03-15,2014,1,3,11,2014,Q1,3,MAR,15,11,SATURDAY,7
2014-03-16,2014,1,3,12,2014,Q1,3,MAR,16,11,SUNDAY,1
2014-03-17,2014,1,3,12,2014,Q1,3,MAR,17,11,MONDAY,2
2014-03-18,2014,1,3,12,2014,Q1,3,MAR,18,11,TUESDAY,3
2014-03-19,2014,1,3,12,2014,Q1,3,MAR,19,12,WEDNESDAY,4
2014-03-20,2014,1,3,12,2014,Q1,3,MAR,20,12,THURSDAY,5
2014-03-21,2014,1,3,12,2014,Q1,3,MAR,21,12,FRIDAY,6
2014-03-22,2014,1,3,12,2014,Q1,3,MAR,22,12,SATURDAY,7
2014-03-23,2014,1,3,13,2014,Q1,3,MAR,23,12,SUNDAY,1
2014-03-24,2014,1,3,13,2014,Q1,3,MAR,24,12,MONDAY,2
2014-03-25,2014,1,3,13,2014,Q1,3,MAR,25,12,TUESDAY,3
2014-03-26,2014,1,3,13,2014,Q1,3,MAR,26,13,WEDNESDAY,4
2014-03-27,2014,1,3,13,2014,Q1,3,MAR,27,13,THURSDAY,5
2014-03-28,2014,1,3,13,2014,Q1,3,MAR,28,13,FRIDAY,6
2014-03-29,2014,1,3,13,2014,Q1,3,MAR,29,13,SATURDAY,7
2014-03-30,2014,2,4,14,2014,Q1,3,MAR,30,13,SUNDAY,1
2014-03-31,2014,2,4,14,2014,Q1,3,MAR,31,13,MONDAY,2
2014-04-01,2014,2,4,14,2014,Q2,4,APR,1,13,TUESDAY,3
2014-04-02,2014,2,4,14,2014,Q2,4,APR,2,14,WEDNESDAY,4
2014-04-03,2014,2,4,14,2014,Q2,4,APR,3,14,THURSDAY,5
2014-04-04,2014,2,4,14,2014,Q2,4,APR,4,14,FRIDAY,6
2014-04-05,2014,2,4,14,2014,Q2,4,APR,5,14,SATURDAY,7
2014-04-06,2014,2,4,15,2014,Q2,4,APR,6,14,SUNDAY,1
2014-04-07,2014,2,4,15,2014,Q2,4,APR,7,14,MONDAY,2
2014-04-08,2014,2,4,15,2014,Q2,4,APR,8,14,TUESDAY,3
2014-04-09,2014,2,4,15,2014,Q2,4,APR,9,15,WEDNESDAY,4
2014-04-10,2014,2,4,15,2014,Q2,4,APR,10,15,THURSDAY,5
2014-04-11,2014,2,4,15,2014,Q2,4,APR,11,15,FRIDAY,6
2014-04-12,2014,2,4,15,2014,Q2,4,APR,12,15,SATURDAY,7
2014-04-13,2014,2,4,16,2014,Q2,4,APR,13,15,SUNDAY,1
2014-04-14,2014,2,4,16,2014,Q2,4,APR,14,15,MONDAY,2
2014-04-15,2014,2,4,16,2014,Q2,4,APR,15,15,TUESDAY,3
2014-04-16,2014,2,4,16,2014,Q2,4,APR,16,16,WEDNESDAY,4
2014-04-17,2014,2,4,16,2014,Q2,4,APR,17,16,THURSDAY,5
2014-04-18,2014,2,4,16,2014,Q2,4,APR,18,16,FRIDAY,6
2014-04-19,2014,2,4,16,2014,Q2,4,APR,19,16,SATURDAY,7
2014-04-20,2014,2,4,17,2014,Q2,4,APR,20,16,SUNDAY,1
2014-04-21,2014,2,4,17,2014,Q2,4,APR,21,16,MONDAY,2
2014-04-22,2014,2,4,17,2014,Q2,4,APR,22,16,TUESDAY,3
2014-04-23,2014,2,4,17,2014,Q2,4,APR,23,17,WEDNESDAY,4
2014-04-24,2014,2,4,17,2014,Q2,4,APR,24,17,THURSDAY,5
2014-04-25,2014,2,4,17,2014,Q2,4,APR,25,17,FRIDAY,6
2014-04-26,2014,2,4,17,2014,Q2,4,APR,26,17,SATURDAY,7
2014-04-27,2014,2,5,18,2014,Q2,4,APR,27,17,SUNDAY,1
2014-04-28,2014,2,5,18,2014,Q2,4,APR,28,17,MONDAY,2
2014-04-29,2014,2,5,18,2014,Q2,4,APR,29,17,TUESDAY,3
2014-04-30,2014,2,5,18,2014,Q2,4,APR,30,18,WEDNESDAY,4
2014-05-01,2014,2,5,18,2014,Q2,5,MAY,1,18,THURSDAY,5
2014-05-02,2014,2,5,18,2014,Q2,5,MAY,2,18,FRIDAY,6
2014-05-03,2014,2,5,18,2014,Q2,5,MAY,3,18,SATURDAY,7
2014-05-04,2014,2,5,19,2014,Q2,5,MAY,4,18,SUNDAY,1
2014-05-05,2014,2,5,19,2014,Q2,5,MAY,5,18,MONDAY,2
2014-05-06,2014,2,5,19,2014,Q2,5,MAY,6,18,TUESDAY,3
2014-05-07,2014,2,5,19,2014,Q2,5,MAY,7,19,WEDNESDAY,4
2014-05-08,2014,2,5,19,2014,Q2,5,MAY,8,19,THURSDAY,5
2014-05-09,2014,2,5,19,2014,Q2,5,MAY,9,19,FRIDAY,6
2014-05-10,2014,2,5,19,2014,Q2,5,MAY,10,19,SATURDAY,7
2014-05-11,2014,2,5,20,2014,Q2,5,MAY,11,19,SUNDAY,1
2014-05-12,2014,2,5,20,2014,Q2,5,MAY,12,19,MONDAY,2
2014-05-13,2014,2,5,20,2014,Q2,5,MAY,13,19,TUESDAY,3
2014-05-14,2014,2,5,20,2014,Q2,5,MAY,14,20,WEDNESDAY,4
2014-05-15,2014,2,5,20,2014,Q2,5,MAY,15,20,THURSDAY,5
2014-05-16,2014,2,5,20,2014,Q2,5,MAY,16,20,FRIDAY,6
2014-05-17,2014,2,5,20,2014,Q2,5,MAY,17,20,SATURDAY,7
2014-05-18,2014,2,5,21,2014,Q2,5,MAY,18,20,SUNDAY,1
2014-05-19,2014,2,5,21,2014,Q2,5,MAY,19,20,MONDAY,2
2014-05-20,2014,2,5,21,2014,Q2,5,MAY,20,20,TUESDAY,3
2014-05-21,2014,2,5,21,2014,Q2,5,MAY,21,21,WEDNESDAY,4
2014-05-22,2014,2,5,21,2014,Q2,5,MAY,22,21,THURSDAY,5
2014-05-23,2014,2,5,21,2014,Q2,5,MAY,23,21,FRIDAY,6
2014-05-24,2014,2,5,21,2014,Q2,5,MAY,24,21,SATURDAY,7
2014-05-25,2014,2,5,22,2014,Q2,5,MAY,25,21,SUNDAY,1
2014-05-26,2014,2,5,22,2014,Q2,5,MAY,26,21,MONDAY,2
2014-05-27,2014,2,5,22,2014,Q2,5,MAY,27,21,TUESDAY,3
2014-05-28,2014,2,5,22,2014,Q2,5,MAY,28,22,WEDNESDAY,4
2014-05-29,2014,2,5,22,2014,Q2,5,MAY,29,22,THURSDAY,5
2014-05-30,2014,2,5,22,2014,Q2,5,MAY,30,22,FRIDAY,6
2014-05-31,2014,2,5,22,2014,Q2,5,MAY,31,22,SATURDAY,7
2014-06-01,2014,2,6,23,2014,Q2,6,JUN,1,22,SUNDAY,1
2014-06-02,2014,2,6,23,2014,Q2,6,JUN,2,22,MONDAY,2
2014-06-03,2014,2,6,23,2014,Q2,6,JUN,3,22,TUESDAY,3
2014-06-04,2014,2,6,23,2014,Q2,6,JUN,4,23,WEDNESDAY,4
2014-06-05,2014,2,6,23,2014,Q2,6,JUN,5,23,THURSDAY,5
2014-06-06,2014,2,6,23,2014,Q2,6,JUN,6,23,FRIDAY,6
2014-06-07,2014,2,6,23,2014,Q2,6,JUN,7,23,SATURDAY,7
2014-06-08,2014,2,6,24,2014,Q2,6,JUN,8,23,SUNDAY,1
2014-06-09,2014,2,6,24,2014,Q2,6,JUN,9,23,MONDAY,2
2014-06-10,2014,2,6,24,2014,Q2,6,JUN,10,23,TUESDAY,3
2014-06-11,2014,2,6,24,2014,Q2,6,JUN,11,24,WEDNESDAY,4
2014-06-12,2014,2,6,24,2014,Q2,6,JUN,12,24,THURSDAY,5
2014-06-13,2014,2,6,24,2014,Q2,6,JUN,13,24,FRIDAY,6
2014-06-14,2014,2,6,24,2014,Q2,6,JUN,14,24,SATURDAY,7
2014-06-15,2014,2,6,25,2014,Q2,6,JUN,15,24,SUNDAY,1
2014-06-16,2014,2,6,25,2014,Q2,6,JUN,16,24,MONDAY,2
2014-06-17,2014,2,6,25,2014,Q2,6,JUN,17,24,TUESDAY,3
2014-06-18,2014,2,6,25,2014,Q2,6,JUN,18,25,WEDNESDAY,4
2014-06-19,2014,2,6,25,2014,Q2,6,JUN,19,25,THURSDAY,5
2014-06-20,2014,2,6,25,2014,Q2,6,JUN,20,25,FRIDAY,6
2014-06-21,2014,2,6,25,2014,Q2,6,JUN,21,25,SATURDAY,7
2014-06-22,2014,2,6,26,2014,Q2,6,JUN,22,25,SUNDAY,1
2014-06-23,2014,2,6,26,2014,Q2,6,JUN,23,25,MONDAY,2
2014-06-24,2014,2,6,26,2014,Q2,6,JUN,24,25,TUESDAY,3
2014-06-25,2014,2,6,26,2014,Q2,6,JUN,25,26,WEDNESDAY,4
2014-06-26,2014,2,6,26,2014,Q2,6,JUN,26,26,THURSDAY,5
2014-06-27,2014,2,6,26,2014,Q2,6,JUN,27,26,FRIDAY,6
2014-06-28,2014,2,6,26,2014,Q2,6,JUN,28,26,SATURDAY,7
2014-06-29,2014,3,7,27,2014,Q2,6,JUN,29,26,SUNDAY,1
2014-06-30,2014,3,7,27,2014,Q2,6,JUN,30,26,MONDAY,2
2014-07-01,2014,3,7,27,2014,Q3,7,JUL,1,26,TUESDAY,3
2014-07-02,2014,3,7,27,2014,Q3,7,JUL,2,27,WEDNESDAY,4
2014-07-03,2014,3,7,27,2014,Q3,7,JUL,3,27,THURSDAY,5
2014-07-04,2014,3,7,27,2014,Q3,7,JUL,4,27,FRIDAY,6
2014-07-05,2014,3,7,27,2014,Q3,7,JUL,5,27,SATURDAY,7
2014-07-06,2014,3,7,28,2014,Q3,7,JUL,6,27,SUNDAY,1
2014-07-07,2014,3,7,28,2014,Q3,7,JUL,7,27,MONDAY,2
2014-07-08,2014,3,7,28,2014,Q3,7,JUL,8,27,TUESDAY,3
2014-07-09,2014,3,7,28,2014,Q3,7,JUL,9,28,WEDNESDAY,4
2014-07-10,2014,3,7,28,2014,Q3,7,JUL,10,28,THURSDAY,5
2014-07-11,2014,3,7,28,2014,Q3,7,JUL,11,28,FRIDAY,6
2014-07-12,2014,3,7,28,2014,Q3,7,JUL,12,28,SATURDAY,7
2014-07-13,2014,3,7,29,2014,Q3,7,JUL,13,28,SUNDAY,1
2014-07-14,2014,3,7,29,2014,Q3,7,JUL,14,28,MONDAY,2
2014-07-15,2014,3,7,29,2014,Q3,7,JUL,15,28,TUESDAY,3
2014-07-16,2014,3,7,29,2014,Q3,7,JUL,16,29,WEDNESDAY,4
2014-07-17,2014,3,7,29,2014,Q3,7,JUL,17,29,THURSDAY,5
2014-07-18,2014,3,7,29,2014,Q3,7,JUL,18,29,FRIDAY,6
2014-07-19,2014,3,7,29,2014,Q3,7,JUL,19,29,SATURDAY,7
2014-07-20,2014,3,7,30,2014,Q3,7,JUL,20,29,SUNDAY,1
2014-07-21,2014,3,7,30,2014,Q3,7,JUL,21,29,MONDAY,2
2014-07-22,2014,3,7,30,2014,Q3,7,JUL,22,29,TUESDAY,3
2014-07-23,2014,3,7,30,2014,Q3,7,JUL,23,30,WEDNESDAY,4
2014-07-24,2014,3,7,30,2014,Q3,7,JUL,24,30,THURSDAY,5
2014-07-25,2014,3,7,30,2014,Q3,7,JUL,25,30,FRIDAY,6
2014-07-26,2014,3,7,30,2014,Q3,7,JUL,26,30,SATURDAY,7
2014-07-27,2014,3,8,31,2014,Q3,7,JUL,27,30,SUNDAY,1
2014-07-28,2014,3,8,31,2014,Q3,7,JUL,28,30,MONDAY,2
2014-07-29,2014,3,8,31,2014,Q3,7,JUL,29,30,TUESDAY,3
2014-07-30,2014,3,8,31,2014,Q3,7,JUL,30,31,WEDNESDAY,4
2014-07-31,2014,3,8,31,2014,Q3,7,JUL,31,31,THURSDAY,5
2014-08-01,2014,3,8,31,2014,Q3,8,AUG,1,31,FRIDAY,6
2014-08-02,2014,3,8,31,2014,Q3,8,AUG,2,31,SATURDAY,7
2014-08-03,2014,3,8,32,2014,Q3,8,AUG,3,31,SUNDAY,1
2014-08-04,2014,3,8,32,2014,Q3,8,AUG,4,31,MONDAY,2
2014-08-05,2014,3,8,32,2014,Q3,8,AUG,5,31,TUESDAY,3
2014-08-06,2014,3,8,32,2014,Q3,8,AUG,6,32,WEDNESDAY,4
2014-08-07,2014,3,8,32,2014,Q3,8,AUG,7,32,THURSDAY,5
2014-08-08,2014,3,8,32,2014,Q3,8,AUG,8,32,FRIDAY,6
2014-08-09,2014,3,8,32,2014,Q3,8,AUG,9,32,SATURDAY,7
2014-08-10,2014,3,8,33,2014,Q3,8,AUG,10,32,SUNDAY,1
2014-08-11,2014,3,8,33,2014,Q3,8,AUG,11,32,MONDAY,2
2014-08-12,2014,3,8,33,2014,Q3,8,AUG,12,32,TUESDAY,3
2014-08-13,2014,3,8,33,2014,Q3,8,AUG,13,33,WEDNESDAY,4
2014-08-14,2014,3,8,33,2014,Q3,8,AUG,14,33,THURSDAY,5
2014-08-15,2014,3,8,33,2014,Q3,8,AUG,15,33,FRIDAY,6
2014-08-16,2014,3,8,33,2014,Q3,8,AUG,16,33,SATURDAY,7
2014-08-17,2014,3,8,34,2014,Q3,8,AUG,17,33,SUNDAY,1
2014-08-18,2014,3,8,34,2014,Q3,8,AUG,18,33,MONDAY,2
2014-08-19,2014,3,8,34,2014,Q3,8,AUG,19,33,TUESDAY,3
2014-08-20,2014,3,8,34,2014,Q3,8,AUG,20,34,WEDNESDAY,4
2014-08-21,2014,3,8,34,2014,Q3,8,AUG,21,34,THURSDAY,5
2014-08-22,2014,3,8,34,2014,Q3,8,AUG,22,34,FRIDAY,6
2014-08-23,2014,3,8,34,2014,Q3,8,AUG,23,34,SATURDAY,7
2014-08-24,2014,3,8,35,2014,Q3,8,AUG,24,34,SUNDAY,1
2014-08-25,2014,3,8,35,2014,Q3,8,AUG,25,34,MONDAY,2
2014-08-26,2014,3,8,35,2014,Q3,8,AUG,26,34,TUESDAY,3
2014-08-27,2014,3,8,35,2014,Q3,8,AUG,27,35,WEDNESDAY,4
2014-08-28,2014,3,8,35,2014,Q3,8,AUG,28,35,THURSDAY,5
2014-08-29,2014,3,8,35,2014,Q3,8,AUG,29,35,FRIDAY,6
2014-08-30,2014,3,8,35,2014,Q3,8,AUG,30,35,SATURDAY,7
2014-08-31,2014,3,9,36,2014,Q3,8,AUG,31,35,SUNDAY,1
2014-09-01,2014,3,9,36,2014,Q3,9,SEP,1,35,MONDAY,2
2014-09-02,2014,3,9,36,2014,Q3,9,SEP,2,35,TUESDAY,3
2014-09-03,2014,3,9,36,2014,Q3,9,SEP,3,36,WEDNESDAY,4
2014-09-04,2014,3,9,36,2014,Q3,9,SEP,4,36,THURSDAY,5
2014-09-05,2014,3,9,36,2014,Q3,9,SEP,5,36,FRIDAY,6
2014-09-06,2014,3,9,36,2014,Q3,9,SEP,6,36,SATURDAY,7
2014-09-07,2014,3,9,37,2014,Q3,9,SEP,7,36,SUNDAY,1
2014-09-08,2014,3,9,37,2014,Q3,9,SEP,8,36,MONDAY,2
2014-09-09,2014,3,9,37,2014,Q3,9,SEP,9,36,TUESDAY,3
2014-09-10,2014,3,9,37,2014,Q3,9,SEP,10,37,WEDNESDAY,4
2014-09-11,2014,3,9,37,2014,Q3,9,SEP,11,37,THURSDAY,5
2014-09-12,2014,3,9,37,2014,Q3,9,SEP,12,37,FRIDAY,6
2014-09-13,2014,3,9,37,2014,Q3,9,SEP,13,37,SATURDAY,7
2014-09-14,2014,3,9,38,2014,Q3,9,SEP,14,37,SUNDAY,1
2014-09-15,2014,3,9,38,2014,Q3,9,SEP,15,37,MONDAY,2
2014-09-16,2014,3,9,38,2014,Q3,9,SEP,16,37,TUESDAY,3
2014-09-17,2014,3,9,38,2014,Q3,9,SEP,17,38,WEDNESDAY,4
2014-09-18,2014,3,9,38,2014,Q3,9,SEP,18,38,THURSDAY,5
2014-09-19,2014,3,9,38,2014,Q3,9,SEP,19,38,FRIDAY,6
2014-09-20,2014,3,9,38,2014,Q3,9,SEP,20,38,SATURDAY,7
2014-09-21,2014,3,9,39,2014,Q3,9,SEP,21,38,SUNDAY,1
2014-09-22,2014,3,9,39,2014,Q3,9,SEP,22,38,MONDAY,2
2014-09-23,2014,3,9,39,2014,Q3,9,SEP,23,38,TUESDAY,3
2014-09-24,2014,3,9,39,2014,Q3,9,SEP,24,39,WEDNESDAY,4
2014-09-25,2014,3,9,39,2014,Q3,9,SEP,25,39,THURSDAY,5
2014-09-26,2014,3,9,39,2014,Q3,9,SEP,26,39,FRIDAY,6
2014-09-27,2014,3,9,39,2014,Q3,9,SEP,27,39,SATURDAY,7
2014-09-28,2014,4,10,40,2014,Q3,9,SEP,28,39,SUNDAY,1
2014-09-29,2014,4,10,40,2014,Q3,9,SEP,29,39,MONDAY,2
2014-09-30,2014,4,10,40,2014,Q3,9,SEP,30,39,TUESDAY,3
2014-10-01,2014,4,10,40,2014,Q4,10,OCT,1,40,WEDNESDAY,4
2014-10-02,2014,4,10,40,2014,Q4,10,OCT,2,40,THURSDAY,5
2014-10-03,2014,4,10,40,2014,Q4,10,OCT,3,40,FRIDAY,6
2014-10-04,2014,4,10,40,2014,Q4,10,OCT,4,40,SATURDAY,7
2014-10-05,2014,4,10,41,2014,Q4,10,OCT,5,40,SUNDAY,1
2014-10-06,2014,4,10,41,2014,Q4,10,OCT,6,40,MONDAY,2
2014-10-07,2014,4,10,41,2014,Q4,10,OCT,7,40,TUESDAY,3
2014-10-08,2014,4,10,41,2014,Q4,10,OCT,8,41,WEDNESDAY,4
2014-10-09,2014,4,10,41,2014,Q4,10,OCT,9,41,THURSDAY,5
2014-10-10,2014,4,10,41,2014,Q4,10,OCT,10,41,FRIDAY,6
2014-10-11,2014,4,10,41,2014,Q4,10,OCT,11,41,SATURDAY,7
2014-10-12,2014,4,10,42,2014,Q4,10,OCT,12,41,SUNDAY,1
2014-10-13,2014,4,10,42,2014,Q4,10,OCT,13,41,MONDAY,2
2014-10-14,2014,4,10,42,2014,Q4,10,OCT,14,41,TUESDAY,3
2014-10-15,2014,4,10,42,2014,Q4,10,OCT,15,42,WEDNESDAY,4
2014-10-16,2014,4,10,42,2014,Q4,10,OCT,16,42,THURSDAY,5
2014-10-17,2014,4,10,42,2014,Q4,10,OCT,17,42,FRIDAY,6
2014-10-18,2014,4,10,42,2014,Q4,10,OCT,18,42,SATURDAY,7
2014-10-19,2014,4,10,43,2014,Q4,10,OCT,19,42,SUNDAY,1
